"","Median","low-CI","high-CI"
"Catenaria anguillulae",1.58753164077871,1.52495345191223,1.65474792939942
"Allomyces macrogynus",1.45283776590645,1.3975725980695,1.51039278212983
"Paramicrosporidium saccamoebae",1.33336839983037,1.25004280994921,1.41561925731154
"Rozella allomycis",0.97643960699275,0.933654615029749,1.02026817003097
"Basidiobolus meristosporus",1.22479650287629,1.18271558799783,1.26828966987008
"Conidiobolus coronatus",1.07171208058521,1.03653997561429,1.10831782400883
"Gonapodya prolifera",1.01488060733576,0.980204916626409,1.05051729010614
"Spizellomyces punctatus",1.19449080765236,1.13999385327931,1.25060995313333
"Batrachochytrium salamandrivorans",1.00247405304774,0.972218748334774,1.03545326894152
"Batrachochytrium dendrobatidis",1.41754286544218,1.30881654650762,1.54543718789495
"Rhizoclosmatium globosum",1.24779580204116,1.20755675964247,1.28920331646265
"Anaeromyces robustus",1.01336729606309,0.982619958658118,1.04492635426389
"Piromyces sp. E2",0.865099537611867,0.837673161036502,0.89357615829876
"Piromyces finnis",1.53360349810241,1.47950866477305,1.59034187915697
"Neocallimastix californiae",1.10766810398086,1.06865025192286,1.14849043744225
"Mortierella elongata",1.38401491919686,1.33787256097479,1.43171490038939
"Mortierella verticillata",2.06450935344085,1.97438651762094,2.15703014246256
"Rhizophagus irregularis",1.10547877312771,1.06782911585806,1.14441765191173
"Rhizophagus clarus",0.7974727020147,0.776744387741537,0.818856412138704
"Bifiguratus adelaidae",1.35298579821461,1.30004587203742,1.41252544693939
"Syncephalastrum racemosum",1.26788982326269,1.22039867423924,1.31750806031621
"Lichtheimia corymbifera",1.72779026580972,1.65435433730686,1.80230532174091
"Lichtheimia ramosa",1.23419499626086,1.19849642092628,1.27081590978154
"Phycomyces blakesleeanus",1.19919921069911,1.16239088569461,1.2374471368856
"Hesseltinella vesiculosa",1.34473951397911,1.29734774879708,1.39369920039364
"Absidia glauca",1.07769402735334,1.04693554887305,1.10922702765924
"Absidia repens",1.08625869668157,1.05582526954012,1.11726078385827
"Choanephora cucurbitarum",0.931206732663267,0.904695938192374,0.958526139866758
"Mucor ambiguus",1.27082145570413,1.22087811522002,1.32278126969143
"Mucor circinelloides",0.866323398024996,0.845226367168706,0.888204792686993
"Rhizopus microsporus",0.815842522626163,0.738041668861701,0.903810296877653
"Rhizopus delemar",0.92927881649708,0.895067460233686,0.964928091097855
"Trachipleistophora hominis",1.27545736069514,1.22067735853011,1.33334307117226
"Vavraia culicis",1.78578187749993,1.66672447758782,2.00001539337552
"Anncaliia algerae",1.85334391196706,1.76721822847429,1.94351454306784
"Amphiamblys sp. WSBS2006",1.68753322796031,1.58327366583216,1.80003081161851
"Ordospora colligata",0.833297638449969,0.76661617383581,0.928534311308493
"Pseudoloma neurophilia",0.650774373198945,0.626980728210741,0.675925271091646
"Nematocida parisii",0.999985392561953,0.999944690922566,0.999934996218076
"Nematocida displodere",1.49995527336404,1.25007497293178,1.50000717317724
"Nematocida sp. 1",1.32354455981891,1.2521328727705,1.39388869835103
"Nematocida sp. ERTm5",1.39995559167452,1.28127061762436,1.50001331896242
"Edhazardia aedis",0.778981545046935,0.756388341670506,0.802413032542829
"Spraguea lophii",1.91492234544915,1.83135645026602,2.00455144355242
"Encephalitozoon intestinalis",1.0000652142445,1.00002908318788,1.00008233705353
"Encephalitozoon cuniculi",0.999977934559849,0.999946864400957,0.999991322915679
"Encephalitozoon hellem",0.999996336098356,0.88331519521947,0.999946462017452
"Encephalitozoon romaleae",1.79343599729754,1.62794718473745,2.00675171271545
"Vittaforma corneae",1.5045235005305,1.41665401457818,1.56244469264936
"Nosema apis",0.749999884666704,0.718242204353837,0.777252586191706
"Nosema ceranae",0.674649355480711,0.647570133006143,0.702420276841296
"Nosema bombycis",0.876359032433963,0.845825244955245,0.908530205625226
"Enterospora canceri",1.18743828222219,1.12494898957695,1.25000935040511
"Hepatospora eriocheir",0.926084089006713,0.892113156776879,0.961507825748828
"Enterocytozoon hepatopenaei",0.749986528988035,0.700030119970626,0.76665708803277
"Enterocytozoon bieneusi",1.06990968618432,1.03597569853405,1.10491356558894
"Wallemia mellicola",1.28128636325301,1.22494411189048,1.34242924566895
"Wallemia ichthyophaga",1.39994225199663,1.33338149225238,1.47221526435047
"Mixia osmundae",1.55770185805341,1.50005918054368,1.62849195505454
"Microbotryum intermedium",1.59999497937566,1.52518703298133,1.67891927759487
"Leucosporidium creatinivorum",1.7031741079151,1.62657878295655,1.78438198053252
"Rhodotorula taiwanensis",1.58072548092288,1.5147118392147,1.64590807769476
"Rhodotorula graminis",1.7327510308121,1.65618548791667,1.81329145478343
"Rhodotorula toruloides",1.50029334994034,1.44503356489025,1.55863228740382
"Rhodotorula sp. JG-1b",1.23804265014116,1.18336252722538,1.2937546440599
"Puccinia coronata",1.08171808887618,1.05522069510726,1.10858435625878
"Puccinia striiformis",2.46740479536696,2.35142051084078,2.58541026056456
"Puccinia graminis",1.22416390916283,1.19043279479509,1.25842739003749
"Puccinia sorghi",0.87010213412324,0.846199676448387,0.894610628478264
"Malassezia globosa",4.94282952547908,4.63826886065168,5.25557600934974
"Malassezia restricta",2.23081447741959,2.0873481943505,2.3785693729595
"Malassezia sympodialis",1.5416925780662,1.46428872293118,1.63178531269014
"Malassezia vespertilionis",1.84133134905398,1.75000883369136,1.94165768890843
"Tilletiaria anomala",1.19231157371611,1.15623747870108,1.23106821468687
