"","Median","low-CI","high-CI"
"Catenaria anguillulae",1.80679520764488,1.74912003969684,1.86902936021071
"Allomyces macrogynus",1.45937457869313,1.42018632564843,1.49994407798214
"Paramicrosporidium saccamoebae",1.60581146791239,1.53846480659619,1.66666775104886
"Rozella allomycis",1.15001580798195,1.11798841586678,1.1834652795339
"Basidiobolus meristosporus",1.16156949973967,1.13305320924341,1.19083758581952
"Conidiobolus coronatus",1.17635227048765,1.14586637734272,1.20807344877228
"Gonapodya prolifera",1.23401079992725,1.20306322420363,1.26620232814255
"Spizellomyces punctatus",1.45642957286744,1.39318780637221,1.52098504025563
"Batrachochytrium salamandrivorans",1.01012412360743,0.985073629973091,1.03584494378814
"Batrachochytrium dendrobatidis",1.9754998882936,1.85343441144206,2.10693166586539
"Rhizoclosmatium globosum",1.10771582260349,1.08266968232881,1.13371032813852
"Anaeromyces robustus",1.04758947922983,1.02710307006311,1.06855223976685
"Piromyces sp. E2",1.10362993937528,1.07671218064127,1.13131932915821
"Piromyces finnis",1.29027620858633,1.25942602648492,1.32172411564324
"Neocallimastix californiae",1.14853632953878,1.12203286872415,1.17566580461528
"Mortierella elongata",1.29598309644709,1.26352632564959,1.32945002819744
"Mortierella verticillata",1.60164265735527,1.563350001781,1.64097312435949
"Rhizophagus irregularis",0.953857677057897,0.934922740777516,0.973187597821807
"Rhizophagus clarus",0.979750407851016,0.959554041268538,1.00039131020227
"Bifiguratus adelaidae",1.17251312609972,1.14070740806577,1.20555676907929
"Syncephalastrum racemosum",1.03126994063399,1.00253703540441,1.06123646759291
"Lichtheimia corymbifera",1.50654973059299,1.46205007838604,1.55290959032119
"Lichtheimia ramosa",1.05589364985968,1.03218373267996,1.08039353054545
"Phycomyces blakesleeanus",1.14218902118101,1.11427507776013,1.17087757409214
"Hesseltinella vesiculosa",1.36238843186896,1.32145897664368,1.40493754591329
"Absidia glauca",1.09995437389846,1.07282532894879,1.12735116395886
"Absidia repens",1.10895177680541,1.08410529802729,1.13461730508491
"Choanephora cucurbitarum",1.13178545350313,1.1052271523073,1.15910187927803
"Mucor ambiguus",1.20529954081019,1.17492983700594,1.23635188263338
"Mucor circinelloides",1.06616308445035,1.04306735960606,1.08986090921989
"Rhizopus microsporus",1.20984379033684,1.10248817386808,1.34217897222762
"Rhizopus delemar",1.12189203030922,1.09235300270774,1.15238562835889
"Trachipleistophora hominis",1.56666302637054,1.51789119548464,1.61608999747671
"Vavraia culicis",1.54994859547788,1.5025214175982,1.62496179485905
"Anncaliia algerae",1.3446675579197,1.31276028234495,1.37743022898219
"Amphiamblys sp. WSBS2006",2.99995963153616,2.74996589496281,3.02493446991374
"Ordospora colligata",1.85712388491721,1.74998218285356,2.0000201572829
"Pseudoloma neurophilia",1.1354306581402,1.09538190059073,1.17703469741811
"Nematocida parisii",0.999910984623172,0.999970977117917,0.999997151671098
"Nematocida displodere",1.00004177297967,0.999999396264013,1.00000532076315
"Nematocida sp. 1",1.00285200370648,0.970232347060213,1.04157582378097
"Nematocida sp. ERTm5",1.54994076054507,1.50513656224504,1.62499549029529
"Edhazardia aedis",0.985951243168496,0.963015103842902,1.00937854444241
"Spraguea lophii",1.35304536344899,1.32078864264829,1.3865213198929
"Encephalitozoon intestinalis",0.999962731287656,0.999994101808284,0.999941187915711
"Encephalitozoon cuniculi",1.00004209214998,1.00004868770954,1.0000144992884
"Encephalitozoon hellem",1.00000927577051,1.00001387867621,1.00004532248633
"Encephalitozoon romaleae",2.66655602377666,2.43873222660133,2.92620987215457
"Vittaforma corneae",1.83329592024586,1.74994370216716,1.99992705105781
"Nosema apis",1.03804544610734,1.00836475209893,1.06838714042902
"Nosema ceranae",1.43890252124675,1.3963834140543,1.48371818702218
"Nosema bombycis",1.39015437115986,1.35207878201477,1.42862540776901
"Enterospora canceri",1.55549614687475,1.50559389006649,1.65911847995321
"Hepatospora eriocheir",1.28127982940992,1.24127038973603,1.32192379341031
"Enterocytozoon hepatopenaei",1.18690310406031,1.15388045319467,1.22726168442679
"Enterocytozoon bieneusi",1.13401388180055,1.10923632352086,1.15923324374587
"Wallemia mellicola",1.41667267760194,1.37499211218491,1.46668699243581
"Wallemia ichthyophaga",1.53411661276833,1.48537681071389,1.58719878912541
"Mixia osmundae",1.97728323876572,1.89992196489668,2.04999922584907
"Microbotryum intermedium",1.81246004421635,1.75395733240948,1.86673713074445
"Leucosporidium creatinivorum",1.36680536181447,1.32887082132771,1.40549355337785
"Rhodotorula taiwanensis",2.59004370685634,2.49999436910542,2.68966308355882
"Rhodotorula graminis",1.69646778314036,1.6404931290282,1.75392253526118
"Rhodotorula toruloides",2.18684763029429,2.11320238749344,2.26184814329791
"Rhodotorula sp. JG-1b",1.77067864308334,1.7133244748733,1.83033138170722
"Puccinia coronata",1.16479371857719,1.1415048919679,1.18848005260543
"Puccinia striiformis",1.35793025774308,1.32369511494077,1.39302917818345
"Puccinia graminis",1.11417146271363,1.09170933324802,1.13714729877163
"Puccinia sorghi",0.903224790017796,0.883026235517949,0.923882400511546
"Malassezia globosa",2.77770229472446,2.62503528690229,2.99997306022236
"Malassezia restricta",2.80768188987581,2.64739602685308,3.00005572195028
"Malassezia sympodialis",1.74997004100467,1.6796684297184,1.81227810408095
"Malassezia vespertilionis",1.50000668396959,1.44161892844762,1.54910157118929
"Tilletiaria anomala",1.23587277524119,1.20003815494404,1.27274793057255
"Ceraceosorus bombacis",0.979278467401357,0.954562994231797,1.00443818838254
"Tilletia controversa",50.7000369359386,40.5000761949694,55.5000300653455
"Tilletia walkeri",1.91669187360397,1.81601604890449,2.0175743311577
"Tilletia indica",1.55583492755949,1.49996658672013,1.62494031402775
"Tilletia caries",2.46668694508758,2.10711024529971,3.00949479980978
"Violaceomyces palustris",1.27710045281107,1.24393095929648,1.31115474397249
"Testicularia cyperi",1.73332781704239,1.66944446205679,1.79889701305398
"Pseudozyma hubeiensis",1.48352790946485,1.44006280007246,1.5250050879631
"Kalmanozyma brasiliensis",1.41703175214896,1.37695531776561,1.45929441597638
"Moesziomyces aphidis",2.86013572712253,2.70829171319572,3.0118493743536
"Moesziomyces antarcticus",2.40473960543342,2.30452013041015,2.51214016113991
"Ustilago hordei",2.0603222047714,1.96667362419406,2.16662664155966
"Ustilago bromivora",3.0000161341218,2.81252907091081,3.22913935878179
"Ustilago maydis",1.28047016239863,1.24122172403896,1.32128420236167
"Anthracocystis flocculosa",1.85323962385067,1.79383529839317,1.91448249504153
"Sporisorium graminicola",1.95968302749468,1.89010121068828,2.03185439837142
"Sporisorium reilianum",1.89472952176299,1.83428743358401,1.9581239757338
"Dacryopinax primogenitus",1.11104589950498,1.07618467038213,1.14606816115792
"Calocera viscosa",1.11113052745765,1.0780979362493,1.1464078732791
"Calocera cornea",1.74996306023489,1.6959825651927,1.80452583775267
"Xanthophyllomyces dendrorhous",1.00001397133338,0.974953965521012,1.02686045645484
"Trichosporon asahii",1.62960036568457,1.56999463059288,1.69254678724613
"Naematelia encephala",1.16158179148971,1.13327303806762,1.1908633620913
"Tremella mesenterica",1.15479443827827,1.12496064380248,1.186308425675
"Kwoniella heveanensis",1.60329499925573,1.52566994050979,1.68068632301187
"Kwoniella bestiolae",1.2033386733275,1.16583142885292,1.24285454750955
"Kwoniella dejecticola",1.58329330824108,1.54375164815915,1.6249329319039
"Kwoniella pini",1.08567236389872,1.06156787229396,1.1102207494185
"Kwoniella mangrovensis",1.45914793074668,1.32143431764135,1.59369937017645
